Materials Name,Molecule Name,Can Pass SievingSieving Mechanism,Mechanism,Test Conditions,Threshold Pressure,,
Zr-FA,ethylene,No,Size exclusion based on molecular dimensions,Size exclusion,"298 K, 1 bar",Not Applicable,
Zr-FA,carbon dioxide,Yes,Size exclusion based on molecular dimensions,Size exclusion,"298 K, 1 bar",Not Applicable,
Zr-BPYDC,propane,Yes,Preferential adsorption of C3H8,Preferential adsorption via specific sites,"Room temperature, ambient pressure",Not Applicable,
Zr-BPYDC,propylene,No,Preferential adsorption of C3H8,Preferential adsorption of C3H8,"Room temperature, ambient pressure",Not Applicable,
Zr-bptc,3-methylpentane,No,Size-exclusion based separation where linear alkanes are adsorbed while branched isomers are excluded.,Size exclusion,150°C,Not Applicable,
Zr-bptc,"2,3-dimethylbutane",No,Size-exclusion based separation where linear alkanes are adsorbed while branched isomers are excluded.,Size exclusion,150°C,Not Applicable,
Zr-bptc,hexane,Yes,Selective molecular exclusion of branched alkanes,Molecular sieving,"150 °C, 1 bar",Not Applicable,
Zr-bptc,3-methylpentane,No,Selective molecular exclusion of branched alkanes,Molecular sieving,"150 °C, 1 bar",Not Applicable,
Zr-bptc,"2,2-dimethylbutane",No,Selective molecular exclusion of branched alkanes,Molecular sieving,"150 °C, 1 bar",Not Applicable,
Zr-abtc,3-methylpentane,Yes,Thermodynamic separation based on adsorption strength,Thermodynamically-driven adsorption,303 K,Not Applicable,
Zr-abtc,"2,2-dimethylbutane",Yes,Thermodynamic separation based on adsorption strength,Thermodynamically-driven adsorption,303 K,Not Applicable,
Zr-bptc,hexane,Yes,Not Reported,Van der Waals interactions,"150 °C, 110 torr",Not Applicable,
Zr-bptc,"2,3-dimethylbutane",No,Not Reported,Size exclusion,"150 °C, 110 torr",Not Applicable,
ZNU-5,acetylene,Yes,Gate opening based molecular sieving,Gate opening based molecular sieving,"298 K, 1 bar",5 kPa,
ZNU-5,carbon dioxide,No,Gate opening based molecular sieving,Size exclusion,"298 K, 1 bar",Not Applicable,
ZNU-5,ethylene,No,Gate opening based molecular sieving,Size exclusion,"298 K, 1 bar",Not Applicable,
ZNU-5,methane,No,Gate opening based molecular sieving,Size exclusion,"298 K, 1 bar",Not Applicable,
ZNU-3,acetylene,Yes,Selective gate opening for C2H2 adsorption over other C1 and C2 gases under ambient temperature.,Gate opening and selective gate opening for C2H2,"298 K, 1 bar",Not Applicable,
ZNU-3,carbon dioxide,No,Selective gate opening for C2H2 adsorption over other C1 and C2 gases under ambient temperature.,Gate opening pressure much higher for CO2 than C2H2,"298 K, 1 bar",Not Applicable,
ZNU-3,ethylene,No,Selective gate opening for C2H2 adsorption over other C1 and C2 gases under ambient temperature.,Size exclusion due to smaller pore aperture,"298 K, 1 bar",Not Applicable,
ZNU-3,ethane,No,Selective gate opening for C2H2 adsorption over other C1 and C2 gases under ambient temperature.,Size exclusion due to smaller pore aperture,"298 K, 1 bar",Not Applicable,
ZNU-3,methane,No,Selective gate opening for C2H2 adsorption over other C1 and C2 gases under ambient temperature.,Size exclusion due to smaller pore aperture,"298 K, 1 bar",Not Applicable,
Zn-tcpt,3-methylpentane,Yes,Size-exclusion based separation,Size exclusion,303 K,Not Applicable,
Zn-tcpt,"2,2-dimethylbutane",No,Size-exclusion based separation,Size exclusion,303 K,Not Applicable,
Zn-SDBA-bpy,acetylene,Yes,Selective gate-opening for acetylene due to strong C2H2-host interactions and framework flexibility,Gate-opening effect induced by strong host-guest interactions,"298 K, 1 bar",0.01 bar,
Zn-SDBA-bpy,carbon dioxide,No,Selective gate-opening for acetylene due to strong C2H2-host interactions and framework flexibility,Size exclusion and unfavorable electrostatic interactions,"298 K, 1 bar",Not Applicable,
Zn-PMDI,carbon dioxide,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,
Zn-PDI,carbon dioxide,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,
Zn-ox-mtz,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, various pressures",Not Applicable,
Zn-ox-mtz,methane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, various pressures",Not Applicable,
Zn-NDI,carbon dioxide,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,
Zn-Me2BPZ,hexane,Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-Me2BPZ,2-methylpentane,Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-Me2BPZ,3-methylpentane,Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-Me2BPZ,"2,2-dimethylbutane",Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-Me2BPZ,"2,3-dimethylbutane",Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-bzc-CF3,perfluoropropane,No,Size-exclusive C3F6/C3F8 separation,Size exclusion,"298 K, 1 bar",Not Applicable,
Zn-bzc-2CH3,isobutane,No,Molecular sieving based on precisely tuned pore windows,size exclusion,"298 K, 1 bar",Not Applicable,
Zn-BTM,1-butene,Yes,Not Reported,Inverse selective adsorption,"298 K, 1 bar",Not Applicable,
Zn-BTM,butadiene,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
Zn-BPZ(NH2)2,hexane,Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-BPZ(NH2)2,2-methylpentane,Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-BPZ(NH2)2,3-methylpentane,Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-BPZ(NH2)2,"2,2-dimethylbutane",Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-BPZ(NH2)2,"2,3-dimethylbutane",Yes,Constricted diffusion of C6 isomers inside the pore structure,Size exclusion,443�?73 K,Not Applicable,
Zn-BPZ,hexane,No,Non-constricted diffusion of all hexane isomers,Not Reported,373�?73 K,Not Applicable,
Zn-BPZ,2-methylpentane,No,Non-constricted diffusion of all hexane isomers,Not Reported,373�?73 K,Not Applicable,
Zn-BPZ,3-methylpentane,No,Non-constricted diffusion of all hexane isomers,Not Reported,373�?73 K,Not Applicable,
Zn-BPZ,"2,2-dimethylbutane",No,Non-constricted diffusion of all hexane isomers,Not Reported,373�?73 K,Not Applicable,
Zn-BPZ,"2,3-dimethylbutane",No,Non-constricted diffusion of all hexane isomers,Not Reported,373�?73 K,Not Applicable,
Zn-BDC,benzene,Yes,Temperature-dependent molecular sieving based on interlayer expansion,Temperature-dependent molecular sieving,"25 °C, 45 °C, 60 °C","1 kPa at 25 °C, 2 kPa at 45 °C, 4 kPa at 60 °C",
Zn-BDC,cyclohexene,Conditional (see Additional Info),Temperature-dependent molecular sieving based on interlayer expansion,Temperature-dependent molecular sieving,"25 °C, 45 °C, 60 °C","2 kPa at 25 °C, 9 kPa at 45 °C",
Zn-BDC,cyclohexane,No,Temperature-dependent molecular sieving based on interlayer expansion,Size exclusion,"25 °C, 45 °C, 60 °C",Not Applicable,
Zn-based MOF,methane,Yes,Not Reported,Kinetic separation,Not Reported,Not Applicable,
Zn-based MOF,carbon dioxide,Conditional (see Additional Info),Not Reported,Kinetic separation,Not Reported,Not Applicable,
ZnAtzPO4,ethylene,Yes,Equilibrium-kinetic combined selectivity for C2H4 over C2H6.,Size exclusion,"298 K, 1 bar",Not Applicable,
ZnAtzPO4,ethane,No,Equilibrium-kinetic combined selectivity for C2H4 over C2H6.,Size exclusion,"298 K, 1 bar",Not Applicable,
ZnATZoxH2O,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
ZnATZoxH2O,methane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
ZnATZoxH2O,oxygen,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn-atz-oba,acetylene,Yes,Not Reported,Preferential adsorption,"298 K, 1 atm",Not Applicable,
Zn-atz-oba,carbon dioxide,Yes,Not Reported,Preferential adsorption,"298 K, 1 atm",Not Applicable,
Zn-atz-oba,ethylene,No,Not Reported,Exclusion due to size/affinity,"298 K, 1 atm",Not Applicable,
Zn-atz-oba,ethane,Yes,Not Reported,Preferential adsorption,"298 K, 1 atm",Not Applicable,
Zn-ATZ-IP(OH)-a,propylene,Yes,Hydrogen bonds define rigid pore windows that admit propylene while excluding propane,Size exclusion at sub-nanometer scale,"298 K, gas mixture C3H6/C3H8 = 1:1",Not Applicable,
Zn-ATZ-IP(OH)-a,propane,No,Hydrogen bonds define rigid pore windows that admit propylene while excluding propane,Size exclusion at sub-nanometer scale,"298 K, gas mixture C3H6/C3H8 = 1:1",Not Applicable,
Zn-aminotriazolato-oxalate (Zn-Atz),carbon dioxide,Yes,Not Reported,Equilibrium separation,"298 K, 0.1 to 50 bar",Not Applicable,
Zn-adtb,3-methylpentane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Kinetic separation,"30�?0 °C, partial pressure up to 50 Torr",Not Applicable,
Zn-adtb,"2,3-dimethylbutane",No,Size exclusion at sub-nanometer scale,Molecular sieving,"30 °C, partial pressure up to 50 Torr",Not Applicable,
Zn-Ade-TCPE,benzene,Yes,Narrow slit-like pore aperture and strong host-guest interactions enable selective adsorption of benzene over cyclohexane.,Size exclusion at sub-nanometer scale,"298 K, low pressure (~10 Pa to ~12 kPa)",Not Applicable,
Zn-Ade-TCPE,cyclohexane,No,Narrow slit-like pore aperture and strong host-guest interactions enable selective adsorption of benzene over cyclohexane.,Size exclusion at sub-nanometer scale,"298 K, low pressure (~10 Pa to ~12 kPa)",Not Applicable,
Zn9(tba)9(dabco)3,"2,2-dimethylbutane",Yes,Synergetic contributory of sieving effect and diffusion.,Sieving effect and diffusion,"298 K, gas phase",Not Applicable,
Zn9(tba)9(dabco)3,"2,3-dimethylbutane",Yes,Synergetic contributory of sieving effect and diffusion.,Sieving effect and diffusion,"298 K, gas phase",Not Applicable,
Zn9(tba)9(dabco)3,3-methylpentane,Yes,Synergetic contributory of sieving effect and diffusion.,Sieving effect and diffusion,"298 K, gas phase",Not Applicable,
Zn4O(NTB)2,3-methylpentane,Yes,Size exclusion at sub-nanometer scale via narrow junctions (5.5 × 5.8 Å²),Shape-matching with elongated cavity,298 K,Not Applicable,
Zn4O(NTB)2,"2,2-dimethylbutane",No,Size exclusion at sub-nanometer scale via narrow junctions (5.5 × 5.8 Å²),Excluded by molecular sieving due to junction size,298 K,Not Applicable,
Zn3(OH)2(pzdc)(atz),propylene,Yes,Not Reported,Size exclusion,Not Reported,Not Applicable,
Zn3(OH)2(pzdc)(atz),propane,No,Not Reported,Size exclusion,Not Reported,Not Applicable,
Zn3(NH2BDC)3DABCO,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"273 K, 1 bar",Not Applicable,
Zn3(NH2BDC)3DABCO,methane,No,Size exclusion at sub-nanometer scale,Size exclusion,"273 K, 1 bar",Not Applicable,
Zn2Cd(NH2BDC)3DABCO,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"273 K, 1 bar",Not Applicable,
Zn2Cd(NH2BDC)3DABCO,methane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"273 K, 1 bar",Not Applicable,
Zn2(sdc)2(bpe),ethane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
Zn2(sdc)2(bpe),ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
Zn2(sdc)2(bpe),propane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 100 kPa",Not Applicable,
Zn2(sdc)2(bpe),acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(sdc)2(bpe),ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(sdc)2(bpe),ethane,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(sdc)2(bpe),propylene,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(sdc)2(bpe),propane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(sdc)2(bpe),butane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),acetylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),ethylene,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),carbon dioxide,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),methane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),ethane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),propyne,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),propylene,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),propane,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(bpy)(btec),oxygen,No,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"298 K, 1 bar",Not Applicable,
Zn2(BDC)2(Dabco),carbon dioxide,Yes,Not Reported,Equilibrium separation,"298 K, 323 K, 0-15 bar",Not Applicable,
Zn2(BDC)2(Dabco),methane,No,Not Reported,Equilibrium separation,"298 K, 323 K, 0-15 bar",Not Applicable,
"Zn(MeIm)2 (SOD topology, ZIF-8)",carbon dioxide,Yes,Gate-opening at sub-nanometer scale,Gate-opening effect,Not Reported,Not Applicable,
Zn(MeIm)2 (dia topology),carbon dioxide,Conditional (see Additional Info),Not Reported,Adsorption at higher temperatures,Higher temperatures,Not Applicable,
"Zn(BDC)(4,4�?Bipy)0.5",methane,Yes,Selective adsorption based on molecular geometry,Size exclusion,Not Reported,Not Applicable,
"Zn(BDC)(4,40-Bipy)0.5",carbon dioxide,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
"Zn(BDC)(4,40-Bipy)0.5",methane,Yes,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
ZJUT-1,propyne,Yes,Not Reported,Multiple hydrogen bonds,"298 K, 1 bar",Not Applicable,
ZJUT-1,propylene,No,Not Reported,Size exclusion,"298 K, 1 bar",Not Applicable,
ZJNU-19,carbon dioxide,Yes,Not Reported,Chemical adsorption via N-oxide groups,"295 K, 1 bar",Not Applicable,
ZIF-L,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,"303 K, up to 6 bar",Not Applicable,
ZIF-90,ethane,Yes,No significant preferential adsorption between ethane and ethylene.,Comparable accessibility as ethylene,"298 K, 1 bar",Not Applicable,
ZIF-90,ethylene,Yes,No significant preferential adsorption between ethane and ethylene.,Comparable accessibility as ethane,"298 K, 1 bar",Not Applicable,
ZIF-8-F,xenon,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
ZIF-8-F,krypton,Yes,Not Reported,Diffusion selectivity,"298 K, 1 bar",Not Applicable,
ZIF-8,ethane,Yes,Preferential adsorption of ethane over ethylene due to stronger host-guest interactions.,Preferential adsorption due to stronger van der Waals and CH-π interactions,"298 K, 1 bar",Not Applicable,
ZIF-8,ethylene,Yes,Preferential adsorption of ethane over ethylene due to stronger host-guest interactions.,Adsorption but weaker interaction compared to ethane,"298 K, 1 bar",Not Applicable,
ZIF-8,propane,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,Not Reported,Not Applicable,
ZIF-8,propylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion at sub-nanometer scale,Not Reported,Not Applicable,
ZIF-8,3-methylpentane,No,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, 1 bar",Not Applicable,
ZIF-8,cyclohexane,No,Size exclusion at sub-nanometer scale and selective adsorption via chemical interactions,Size exclusion,Not Reported,Not Applicable,
ZIF-8,benzene,Yes,Size exclusion at sub-nanometer scale and selective adsorption via chemical interactions,π–π interactions,Not Reported,Not Applicable,
ZIF-8,toluene,No,Size exclusion at sub-nanometer scale,Size exclusion,300 °C,Not Applicable,
ZIF-8,propylene,Yes,Size exclusion at sub-nanometer scale based on kinetic diameter differences.,Kinetic sieving,"303 K, 1.0 bar",Not Applicable,
ZIF-8,propane,No,Size exclusion at sub-nanometer scale based on kinetic diameter differences.,Size exclusion,"303 K, 1.0 bar",Not Applicable,
ZIF-8,2-methylpentane,Yes,Kinetic separation based on differences in diffusion rates within the pores.,Kinetic sieving,"100°C, 150°C, 200°C",Not Applicable,
ZIF-8,3-methylpentane,Yes,Kinetic separation based on differences in diffusion rates within the pores.,Kinetic sieving,"100°C, 150°C, 200°C",Not Applicable,
ZIF-8,"2,3-dimethylbutane",Yes,Kinetic separation based on differences in diffusion rates within the pores.,Kinetic sieving,"100°C, 150°C, 200°C",Not Applicable,
ZIF-8,"2,2-dimethylbutane",Conditional (see Additional Info),Kinetic separation based on differences in diffusion rates within the pores.,Kinetic sieving,"100°C, 150°C, 200°C",Not Applicable,
ZIF-8,ethane,Yes,Preferential adsorption of ethane over ethylene due to stronger host-guest interactions.,Preferential adsorption due to stronger van der Waals and CH-π interactions,"298 K, 1 bar",Not Applicable,
ZIF-8,ethylene,Yes,Preferential adsorption of ethane over ethylene due to stronger host-guest interactions.,Adsorption but weaker interaction compared to ethane,"298 K, 1 bar",Not Applicable,
ZIF-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
ZIF-8,methane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,Not Reported,Not Applicable,
ZIF-8,carbon dioxide,Yes,Not Reported,Electrochemical reduction facilitated by ligand active sites,"-1.1 V (vs. RHE), CO2-saturated 0.25 M K2SO4 solution, pH 4.2, room temperature, atmospheric pressure",Not Applicable,
ZIF-8,carbon dioxide,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, up to 4 bar",Not Applicable,
ZIF-8,methane,Conditional (see Additional Info),Size exclusion at sub-nanometer scale,Gate-opening phenomenon,"298 K, up to 4 bar",Not Applicable,
ZIF-8,ethylene,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, up to 4 bar",Not Applicable,
ZIF-8,ethane,Yes,Size exclusion at sub-nanometer scale,Size exclusion,"298 K, up to 4 bar",Not Applicable,
ZIF-8,benzene,Yes,Shape and size-dependent diffusion through flexible elliptical windows.,Size exclusion at sub-nanometer scale,"Room temperature, 1 bar",Not Applicable,
ZIF-8,cyclohexane,No,Shape and size-dependent diffusion through flexible elliptical windows.,Size exclusion at sub-nanometer scale,"Room temperature, 1 bar",Not Applicable,
