Materials Name,Molecule Name,Can Pass SievingPore Size,Structure Type,Material Category,Sieving Mechanism,Molecular Size,Mechanism,File Name,Test Conditions,Threshold Pressure,Additional Info,,,,,,,,,
ZUL-500,acetylene,Yes,"3.4 × 3.7 Å (along c axis), 3.4 × 3.5 Å (along b axis), PLD: 3.42 Å, LCD: 4.11 Å, GCD: 4.11 Å",3D channels,MOFs,Dynamic exclusion based on affinity difference between C2H2 and CO2,3.3 × 3.3 × 5.7 Å³,Competitive adsorption,10.1016-j.cej.2023.144852.json,"298 K, 1 bar",Not Applicable,Dynamic exclusion of CO2 observed; C2H2 uptake capacity up to 5.42 mmol/g at 1 bar.,,,,,,,,
ZUL-500,carbon dioxide,Conditional (see Additional Info),"3.4 × 3.7 Å (along c axis), 3.4 × 3.5 Å (along b axis), PLD: 3.42 Å, LCD: 4.11 Å, GCD: 4.11 Å",3D channels,MOFs,Dynamic exclusion based on affinity difference between C2H2 and CO2,3.3 × 3.3 × 5.4 Å³,Competitive adsorption,10.1016-j.cej.2023.144852.json,"298 K, 1 bar",Not Applicable,Negligible CO2 uptake in mixture isotherms due to strong competitive adsorption by acetylene.,,,,,,,,
ZUL C6,n-hexane,Yes,"2.21�?.35 Å (c-axis), 4.94×5.76 Å² (ab-plane)",3D framework with intersecting 2D channels,MOFs,Size exclusion at sub-nanometer scale combined with gate-opening for larger molecules,4.5 Å,Size exclusion at sub-nanometer scale,10.1002-anie.202500519.json,"303 K, 1 bar",Not Applicable,Adsorption uptake reaches 145.3 mg/g at 10 kPa.,,,,,,,,
ZUL C6,3-methylpentane,Yes,"2.21�?.35 Å (c-axis), 4.94×5.76 Å² (ab-plane)",3D framework with intersecting 2D channels,MOFs,Size exclusion at sub-nanometer scale combined with gate-opening for larger molecules,5.0 Å,Size exclusion at sub-nanometer scale,10.1002-anie.202500519.json,"303 K, 1 bar",Not Applicable,Adsorption uptake reaches 146.2 mg/g at 10 kPa.,,,,,,,,
ZUL C6,"2,2-dimethylbutane",Conditional (see Additional Info),"2.21�?.35 Å (c-axis), 4.94×5.76 Å² (ab-plane)",3D framework with intersecting 2D channels,MOFs,Size exclusion at sub-nanometer scale combined with gate-opening for larger molecules,6.2 Å,Gate-opening effect,10.1002-anie.202500519.json,"303 K, 1 bar",16 kPa,Almost no adsorption below 10 kPa due to size exclusion; gate-opening observed at higher pressures.,,,,,,,,
ZU-96,butadiene,Yes,"0.32 nm (minimum), 0.47 nm (quasi-maximal)",1D channels,MOFs,Size exclusion and gate-opening effect based on flexible pore size tuning,0.431 nm,Size exclusion at sub-nanometer scale,10.1016_j.cjche.2021.09.001.json,"298 K, 100 kPa",Not Applicable,Adsorption uptake: 92.78 cm³·cm⁻�?at 100 kPa and 298 K.,,,,,,,,
ZU-96,n-butene,Pressure-dependent,"0.32 nm (minimum), 0.47 nm (quasi-maximal)",1D channels,MOFs,Size exclusion and gate-opening effect based on flexible pore size tuning,0.446 nm,Gate-opening effect,10.1016_j.cjche.2021.09.001.json,"298 K, 100 kPa",30 kPa,Adsorption uptake: 47.98 cm³·cm⁻�?at 100 kPa and 298 K.,,,,,,,,
ZU-96,iso-butene,No,"0.32 nm (minimum), 0.47 nm (quasi-maximal)",1D channels,MOFs,Size exclusion and gate-opening effect based on flexible pore size tuning,0.484 nm,Size exclusion at sub-nanometer scale,10.1016_j.cjche.2021.09.001.json,"298 K, 100 kPa",Not Applicable,Adsorption uptake: 4.45 cm³·cm⁻�?at 100 kPa and 298 K.,,,,,,,,
ZU-901 MOF,ethylene,Yes,0.36 nm,Not Reported,MOFs,Size exclusion at sub-nanometer scale,4.16 Å,C-H···O hydrogen bonding,10.1002-adma.202408416.json,"273 K, 101 kPa",Not Applicable,C2H4 diffuses within pores while C2H6 is excluded.,,,,,,,,
ZU-901 MOF,ethane,No,0.36 nm,Not Reported,MOFs,Size exclusion at sub-nanometer scale,4.44 Å,Size exclusion,10.1002-adma.202408416.json,"273 K, 101 kPa",Not Applicable,C2H6 is excluded based on its larger size compared to pore aperture.,,,,,,,,
ZU-66,carbon dioxide,Yes,"3.55 Å (minimum), 5.01 Å (maximum)",3D cages,MOFs,Size exclusion at sub-nanometer scale via temporarily fixed molecular rotors under ambient conditions,3.3 Å,Size exclusion at sub-nanometer scale,10.1021-acssuschemeng.8b04916_1747626043298282_10.1021@acssuschemeng.8b04916.json,"298 K, 1 bar",Not Applicable,High CO2 capacity of 4.56 mmol g�?,,,,,,,,
ZU-66,methane,No,"3.55 Å (minimum), 5.01 Å (maximum)",3D cages,MOFs,Size exclusion at sub-nanometer scale via temporarily fixed molecular rotors under ambient conditions,3.8 Å,Size exclusion at sub-nanometer scale,10.1021-acssuschemeng.8b04916_1747626043298282_10.1021@acssuschemeng.8b04916.json,"298 K, 1 bar",Not Applicable,Negligible CH4 uptake of 0.21 mmol g�?,,,,,,,,
ZU-66,nitrogen,No,"3.55 Å (minimum), 5.01 Å (maximum)",3D cages,MOFs,Size exclusion at sub-nanometer scale via temporarily fixed molecular rotors under ambient conditions,3.65 Å,Size exclusion at sub-nanometer scale,10.1021-acssuschemeng.8b04916_1747626043298282_10.1021@acssuschemeng.8b04916.json,"298 K, 1 bar",Not Applicable,Negligible N2 uptake of 0.08 mmol g�?,,,,,,,,
ZU-62,trans-2-pentene,Yes,3.19 Å (H–H distance),3D interpenetrated structure with contracted aperture size,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1007-s12274-020-2831-8_1747626729996509_10.1007@s12274-020-2831-8.json,"298 K, 45 kPa",Not Applicable,Uptake capacity: slowly increasing adsorption curve,,,,,,,,
ZU-62,1-pentene,Yes,3.19 Å (H–H distance),3D interpenetrated structure with contracted aperture size,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1007-s12274-020-2831-8_1747626729996509_10.1007@s12274-020-2831-8.json,"298 K, 45 kPa",Not Applicable,Uptake capacity: slowly increasing adsorption curve,,,,,,,,
ZU-62,isoprene,No,3.19 Å (H–H distance),3D interpenetrated structure with contracted aperture size,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1007-s12274-020-2831-8_1747626729996509_10.1007@s12274-020-2831-8.json,"298 K, low pressure range (0�? kPa)",Not Applicable,Exclusion effect due to larger molecular size,,,,,,,,
ZU-610a,acetylene,No,"3.2 Å, 4.1 Å",1D channels,Other,Kinetically controlled separation process based on molecular size difference.,3.3×3.3×5.7 Å³,Kinetic sieving,10.1002-anie.202208756.json,"298 K, 1 bar",Not Applicable,Excluded due to size.,,,,,,,,
ZU-610a,carbon dioxide,Yes,"3.2 Å, 4.1 Å",1D channels,Other,Kinetically controlled separation process based on molecular size difference.,3.2×3.3×5.4 Å³,Kinetic sieving,10.1002-anie.202208756.json,"298 K, 1 bar",Not Applicable,Freely enters the channel.,,,,,,,,
ZU-610,acetylene,Yes,"3.8 Å, 4.7 Å",1D channels,Other,Thermodynamically controlled separation process based on affinity differences.,3.3×3.3×5.7 Å³,Thermodynamically controlled adsorption,10.1002-anie.202208756.json,"298 K, 1 bar",Not Applicable,Preferential adsorption over CO2.,,,,,,,,
ZU-610,carbon dioxide,Yes,"3.8 Å, 4.7 Å",1D channels,Other,Thermodynamically controlled separation process based on affinity differences.,3.2×3.3×5.4 Å³,Thermodynamically controlled adsorption,10.1002-anie.202208756.json,"298 K, 1 bar",Not Applicable,Less preferential adsorption compared to acetylene.,,,,,,,,
ZU-609,"1,3-butadiene",Yes,"4.6 Å (shrunken mouth), 7.5 Å × 8.1 Å × 11.1 Å (channel)",1D channels,MOFs,Size-exclusion at the shrunken mouth of the channel,4.3 Å,Thermodynamic selectivity,10.1002-anie.202403345.json,"298 K, 1 bar",Not Applicable,High affinity due to C-H···O-S interactions with sulfonate anions.,,,,,,,,
ZU-609,trans-2-butene,Yes,"4.6 Å (shrunken mouth), 7.5 Å × 8.1 Å × 11.1 Å (channel)",1D channels,MOFs,Size-exclusion at the shrunken mouth of the channel,4.3 Å,Thermodynamic selectivity,10.1002-anie.202403345.json,"298 K, 1 bar",Not Applicable,"Lower affinity compared to 1,3-butadiene.",,,,,,,,
ZU-609,cis-2-butene,No,"4.6 Å (shrunken mouth), 7.5 Å × 8.1 Å × 11.1 Å (channel)",1D channels,MOFs,Size-exclusion at the shrunken mouth of the channel,4.9 Å,Size exclusion,10.1002-anie.202403345.json,"298 K, 1 bar",Not Applicable,Excluded due to larger size than pore mouth.,,,,,,,,
ZU-609,isobutene,No,"4.6 Å (shrunken mouth), 7.5 Å × 8.1 Å × 11.1 Å (channel)",1D channels,MOFs,Size-exclusion at the shrunken mouth of the channel,4.8 Å,Size exclusion,10.1002-anie.202403345.json,"298 K, 1 bar",Not Applicable,Excluded due to larger size than pore mouth.,,,,,,,,
ZU-609,n-butane,No,"4.6 Å (shrunken mouth), 7.5 Å × 8.1 Å × 11.1 Å (channel)",1D channels,MOFs,Size-exclusion at the shrunken mouth of the channel,4.7 Å,Size exclusion,10.1002-anie.202403345.json,"298 K, 1 bar",Not Applicable,Excluded due to larger size than pore mouth.,,,,,,,,
ZU-609,isobutane,No,"4.6 Å (shrunken mouth), 7.5 Å × 8.1 Å × 11.1 Å (channel)",1D channels,MOFs,Size-exclusion at the shrunken mouth of the channel,5.3 Å,Size exclusion,10.1002-anie.202403345.json,"298 K, 1 bar",Not Applicable,Excluded due to larger size than pore mouth.,,,,,,,,
ZU-609,propylene,Yes,"7.5 × 8.1 × 11.1 Å3 (large channel), 4.2 Å × 5.1 Å (sieving gate)",1D channels with local contraction,MOFs,Size/shape sieving based on cross-section size of the contraction falling between propylene and propane sizes.,4.1 Å × 5.1 Å,Size exclusion,science.abn8418.json,"298 K, 1 bar",Not Applicable,Adsorption isotherm approaches linear type with moderate heat of adsorption (43 kJ mol�?). Dynamic C3H6 capacity is approximately 1.64 mmol g�?.,,,,,,,,
ZU-609,propane,No,"7.5 × 8.1 × 11.1 Å3 (large channel), 4.2 Å × 5.1 Å (sieving gate)",1D channels with local contraction,MOFs,Size/shape sieving based on cross-section size of the contraction falling between propylene and propane sizes.,5.1 Å × 5.3 Å,Size exclusion,science.abn8418.json,"298 K, 1 bar",Not Applicable,"Propane breaks out immediately along with the inert gas He during breakthrough experiments, indicating sieving effect.",,,,,,,,
ZU-36-Ni,trans-2-butene,Yes,4.75 Å (quasi-maximum pore size),1D contracted pore channels,MOFs,Enhanced molecular exclusion via adaptive pore channels,4.31 Å (kinetic diameter),Size exclusion with optimal host–guest interactions,10.1016_j.eng.2021.10.013.json,"298 K, 1 bar",Not Applicable,Exhibits a stepped adsorption isotherm with a remarkable capacity of 2.45 mmol∙g�?.,,,,,,,,
ZU-36-Ni,cis-2-butene,No,4.75 Å (quasi-maximum pore size),1D contracted pore channels,MOFs,Enhanced molecular exclusion via adaptive pore channels,4.94 Å (kinetic diameter),Size exclusion due to contracted pore window,10.1016_j.eng.2021.10.013.json,"298 K, 1 bar",Not Applicable,"Negligible adsorption observed, leading to high purity separation (> 99.99%).",,,,,,,,
ZU-36-Fe,trans-2-butene,Yes,4.85 Å (quasi-maximum pore size),1D contracted pore channels,MOFs,Size exclusion and strong host–guest interactions for trans-C4H8,4.31 Å (kinetic diameter),Typical Langmuir-type adsorption isotherm,10.1016_j.eng.2021.10.013.json,"298 K, 1 bar",Not Applicable,Adsorption capacity of 1.81 mmol∙g�? at saturation.,,,,,,,,
ZU-36-Fe,cis-2-butene,No,4.85 Å (quasi-maximum pore size),1D contracted pore channels,MOFs,Size exclusion and strong host–guest interactions for trans-C4H8,4.94 Å (kinetic diameter),Size exclusion due to contracted pore window,10.1016_j.eng.2021.10.013.json,"298 K, 1 bar",Not Applicable,"Low uptake (0.5 mmol∙g�?) observed, contributing to separation but with lower efficiency compared to ZU-36-Ni.",,,,,,,,
ZU-36-Co,butane,Yes,3.82 Å to 5.25 Å,1D channels,MOFs,Size exclusion at sub-nanometer scale,4.7 Å,Size exclusion,10.1002-aic.16236_1747624409763936_zhang2020.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 2.20 mmol/g,,,,,,,,
ZU-36-Co,isobutane,No,3.82 Å to 5.25 Å,1D channels,MOFs,Size exclusion at sub-nanometer scale,5.3 Å,Size exclusion,10.1002-aic.16236_1747624409763936_zhang2020.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 0.12 mmol/g,,,,,,,,
ZU-36-Co,1-butene,Yes,3.82 Å to 5.25 Å,1D channels,MOFs,Size exclusion at sub-nanometer scale,4.5 Å,Size exclusion,10.1002-aic.16236_1747624409763936_zhang2020.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 2.35 mmol/g,,,,,,,,
ZU-36-Co,isobutene,No,3.82 Å to 5.25 Å,1D channels,MOFs,Size exclusion at sub-nanometer scale,4.85 Å,Size exclusion,10.1002-aic.16236_1747624409763936_zhang2020.json,"298 K, 1 bar",Not Applicable,Adsorption capacity: 0.17 mmol/g,,,,,,,,
ZU-36-Co,n-butane,Yes,3.82�?.25 Å (tunable via F atom rotation),1D pore channels,MOFs,Tunable pore size exclusion,4.69 Å,size exclusion,10.1016_j.cej.2025.160992.json,"298 K, 1 bar",Not Applicable,High uptake capacity (2.20 mmol/g),,,,,,,,
ZU-36-Co,isobutane,No,3.82�?.25 Å (tunable via F atom rotation),1D pore channels,MOFs,Tunable pore size exclusion,5.28 Å,size exclusion,10.1016_j.cej.2025.160992.json,"298 K, 1 bar",Not Applicable,Minimal adsorption (0.12 mmol/g),,,,,,,,
ZU-32,acetylene,Yes,Not Reported,1D channels,MOFs,Not Reported,3.3 × 3.3 × 5.7 Å³,Competitive adsorption,10.1016-j.cej.2023.144852.json,"298 K, 1 bar",Not Applicable,Lower C2H2 uptake compared to ZUL-500.,,,,,,,,
ZU-32,carbon dioxide,Yes,Not Reported,1D channels,MOFs,Not Reported,3.3 × 3.3 × 5.4 Å³,Competitive adsorption,10.1016-j.cej.2023.144852.json,"298 K, 1 bar",Not Applicable,"Higher CO2 uptake compared to ZUL-500, leading to lower selectivity.",,,,,,,,
ZU-301a,carbon dioxide,Yes,3.35 × 6.96 Å,Regularly layered three-dimensional configuration,MOFs,Narrow pore size effectively blocks CH4 while allowing CO2 to pass through,3.3 Å,Electrostatic interactions and hydrogen bonding,10.1021-acs.iecr.4c03299.json,"298 K, 5 bar",Not Applicable,CO2 uptake capacity: 4.54 mmol/g at 298 K and 5 bar,,,,,,,,
ZU-301a,methane,No,3.35 × 6.96 Å,Regularly layered three-dimensional configuration,MOFs,Narrow pore size effectively blocks CH4 while allowing CO2 to pass through,3.8 Å,Size exclusion,10.1021-acs.iecr.4c03299.json,"298 K, 5 bar",Not Applicable,Minimal adsorption of CH4,,,,,,,,
ZU-301,carbon dioxide,Yes,3.8 Å,Rigid one-dimensional channels,MOFs,Size exclusion at sub-nanometer scale,3.3 Å,Size exclusion,d3qm00705g.json,"0.15 bar, 298 K",Not Applicable,Multiple synergistic interactions with framework,,,,,,,,
ZU-301,nitrogen,No,3.8 Å,Rigid one-dimensional channels,MOFs,Size exclusion at sub-nanometer scale,3.64 Å,Size exclusion,d3qm00705g.json,"0.15 bar, 298 K",Not Applicable,Barrier for N2 and CH4 molecules,,,,,,,,
ZU-301,methane,No,3.8 Å,Rigid one-dimensional channels,MOFs,Size exclusion at sub-nanometer scale,3.76 Å,Size exclusion,d3qm00705g.json,"0.15 bar, 298 K",Not Applicable,Barrier for N2 and CH4 molecules,,,,,,,,
ZSM-5(CFA),carbon dioxide,Yes,1.02 nm,Microporous channels,Other,Rigid microporous channels favoring molecular sieving,Not Reported,Chemisorption,10.1016_j.molstruc.2025.141984.json,"273.15 K, 1 bar",Not Applicable,Adsorption capacity of 2.37 mmol·g�?,,,,,,,,
ZSM-5,endogenous peptides,No,5 Å,Not Reported,Other,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1016-j.trac.2019.115658_1747626542037783_li2019.json,Not Reported,Not Applicable,The enrichment performance of ZSM-5 was not better than that of MCM-41.,,,,,,,,
ZSM-5,n-hexane,Yes,"5.1 Å × 5.5 Å, 5.4 Å × 5.6 Å",2D channels,Other,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1016_j.seppur.2022.121219.json,303 K,Not Applicable,Significant adsorption capacity.,,,,,,,,
ZSM-5,3-methylpentane,Yes,"5.1 Å × 5.5 Å, 5.4 Å × 5.6 Å",2D channels,Other,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1016_j.seppur.2022.121219.json,303 K,Not Applicable,Limited adsorption capacity.,,,,,,,,
ZSM-5,"2,2-dimethylbutane",No,"5.1 Å × 5.5 Å, 5.4 Å × 5.6 Å",2D channels,Other,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1016_j.seppur.2022.121219.json,303 K,Not Applicable,Completely excluded due to pore size limitation.,,,,,,,,
ZSM-25-Na,deuterium,No,3.8 Å (effective pore diameter of 8 MR windows),3D cages,Other,Blocking effect of Na+ cations,Not Reported,Blocking effect of Na+ cations,10.1016_j.cej.2025.162769.json,"77 K, up to 100 kPa",Not Applicable,Negligible uptake (< 0.1 mmol/g) at 100 kPa and 77 K.,,,,,,,,
ZSM-25-Na,hydrogen,No,3.8 Å (effective pore diameter of 8 MR windows),3D cages,Other,Blocking effect of Na+ cations,Not Reported,Blocking effect of Na+ cations,10.1016_j.cej.2025.162769.json,"77 K, up to 100 kPa",Not Applicable,Negligible uptake (< 0.1 mmol/g) at 100 kPa and 77 K.,,,,,,,,
ZSM-25-K,deuterium,Yes,3.8 Å (effective pore diameter of 8 MR windows),3D cages,Other,Combined kinetic quantum sieving and chemical affinity quantum sieving,Not Reported,Kinetic quantum sieving and chemical affinity quantum sieving,10.1016_j.cej.2025.162769.json,"77 K, up to 100 kPa",Not Applicable,Adsorption capacity of 3.3 mmol/g at 100 kPa and 77 K.,,,,,,,,
ZSM-25-K,hydrogen,Yes,3.8 Å (effective pore diameter of 8 MR windows),3D cages,Other,Combined kinetic quantum sieving and chemical affinity quantum sieving,Not Reported,Kinetic quantum sieving and chemical affinity quantum sieving,10.1016_j.cej.2025.162769.json,"77 K, up to 100 kPa",Not Applicable,Adsorption capacity of 2.5 mmol/g at 100 kPa and 77 K.,,,,,,,,
ZrSQUF,nitrogen,Yes,"2.4 Å (window size, considering Van der Waals radii), 5.6 Å (octahedral cages), 4.7 Å (tetrahedral cages)",3D cages,MOFs,Defect-induced modulation of pore windows through incorporation of formate modulator; potential tilting of cluster-bound formates acting as trapdoors to increase window size.,3.64 Å,Kinetic sieving,10.1039-c4cc03764b_1747623604945375_bueken2014.json,"77 K, 1 bar",Not Applicable,N2 physisorption showed a type I isotherm with micropore uptake of 40.4 cm³·g⁻�?,,,,,,,,
ZrSQUF,hydrogen,Yes,"2.4 Å (window size, considering Van der Waals radii), 5.6 Å (octahedral cages), 4.7 Å (tetrahedral cages)",3D cages,MOFs,Defect-induced modulation of pore windows through incorporation of formate modulator; potential tilting of cluster-bound formates acting as trapdoors to increase window size.,2.82 Å,Kinetic sieving,10.1039-c4cc03764b_1747623604945375_bueken2014.json,"77 K, 1 bar",Not Applicable,"H2 adsorption capacity was 50.5 cm³·g⁻�?at 1 bar and 77 K, showing type I isotherm indicative of micropore filling.",,,,,,,,
ZrSQUA,nitrogen,No,"2.4 Å (window size, considering Van der Waals radii), 5.6 Å (octahedral cages), 4.7 Å (tetrahedral cages)",3D cages,MOFs,Defect-induced modulation of pore windows through incorporation of acetate modulator.,3.64 Å,Size exclusion,10.1039-c4cc03764b_1747623604945375_bueken2014.json,"77 K, 1 bar",Not Applicable,"N2 physisorption revealed a type II isotherm, indicative of non-porous or macroporous behavior.",,,,,,,,
ZrSQUA,hydrogen,Yes,"2.4 Å (window size, considering Van der Waals radii), 5.6 Å (octahedral cages), 4.7 Å (tetrahedral cages)",3D cages,MOFs,Defect-induced modulation of pore windows through incorporation of acetate modulator.,2.82 Å,Kinetic sieving,10.1039-c4cc03764b_1747623604945375_bueken2014.json,"77 K, 1 bar",Not Applicable,"H2 adsorption capacity was 35.6 cm³·g⁻�?at 1 bar and 77 K, showing type I isotherm indicative of micropore filling.",,,,,,,,
Zr-SA-MOF@CS,methanol,Conditional (see Additional Info),2.4 Å,Not Reported,MOF composite,Size exclusion with gate flexibility,3.8 Å,Gate flexibility and molecular rotation,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,"Despite the pore size being smaller than the kinetic diameter of methanol, the membrane allows methanol transport due to gate flexibility and molecular rotation.",,,,,,,,
Zr-SA-MOF@CS,dimethyl carbonate,No,2.4 Å,Not Reported,MOF composite,Size exclusion with gate flexibility,4.7-6.3 Å,Size exclusion at sub-nanometer scale,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,The separation factor is higher than that of Zr-fum-MOF@CS due to smaller pore size.,,,,,,,,
Zr-PZDC-MOF@CS,methanol,Yes,5.6 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,3.8 Å,Size exclusion at sub-nanometer scale,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,The separation factor is lower than that of Zr-fum-MOF@CS due to larger pore size.,,,,,,,,
Zr-PZDC-MOF@CS,dimethyl carbonate,Conditional (see Additional Info),5.6 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,4.7-6.3 Å,Size exclusion at sub-nanometer scale,10.1021-acs.iecr.4c03122.json,"50 °C, feed concentration: 10 wt % methanol",Not Applicable,The membrane allows some dimethyl carbonate transport due to larger pore size compared to Zr-fum-MOF@CS.,,,,,,,,
Zr-MOF[BDC-(OH)2],hydrogen,Yes,5.2 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,2.8 Å,Size exclusion,s41563-023-01541-0.json,"25 °C, 1 bar",Not Applicable,High H2/CO2 selectivity observed,,,,,,,,
Zr-MOF[BDC-(OH)2],carbon dioxide,No,5.2 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,3.3 Å,Size exclusion,s41563-023-01541-0.json,"25 °C, 1 bar",Not Applicable,Blocked by the lattice window due to its larger size compared to hydrogen,,,,,,,,
Zr-MOF(fumarate),hydrogen,Yes,4.5 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,2.8 Å,Size exclusion,s41563-023-01541-0.json,"25 °C, 1 bar",Not Applicable,High H2/CO2 selectivity of 69.2 after defect elimination,,,,,,,,
Zr-MOF(fumarate),carbon dioxide,No,4.5 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,3.3 Å,Size exclusion,s41563-023-01541-0.json,"25 °C, 1 bar",Not Applicable,Blocked by the lattice window due to its larger size compared to hydrogen,,,,,,,,
Zr-MOF(fumarate),water,Yes,4.5 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,2.76 Å,Size exclusion,s41563-023-01541-0.json,25 °C,Not Applicable,Freely passes through the lattice while rejecting hydrated ions,,,,,,,,
Zr-MOF(fumarate),methanol,Yes,4.5 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,3.8 Å,Size exclusion,s41563-023-01541-0.json,50 °C,Not Applicable,Permeates selectively over DMC in azeotropic mixtures,,,,,,,,
Zr-MOF(fumarate),dimethyl carbonate,No,4.5 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,4.7�?.3 Å,Size exclusion,s41563-023-01541-0.json,50 °C,Not Applicable,Blocked by the lattice window due to its larger size compared to methanol,,,,,,,,
Zr-MOF(BDC),hydrogen,Yes,5.1 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,2.8 Å,Size exclusion,s41563-023-01541-0.json,"25 °C, 1 bar",Not Applicable,High H2/CO2 selectivity observed,,,,,,,,
Zr-MOF(BDC),carbon dioxide,No,5.1 Å (maximum aperture size),12-connected face-centered cubic,MOF membrane,Size exclusion at sub-nanometer scale,3.3 Å,Size exclusion,s41563-023-01541-0.json,"25 °C, 1 bar",Not Applicable,Blocked by the lattice window due to its larger size compared to hydrogen,,,,,,,,
